"candidate_id","location_city","city_dev_score","sex","prior_experience","university_enrollment","academic_qualification","field_of_study","work_experience_years","employer_size","employer_type","time_since_last_job_change","hours_of_training","target"
18309,"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM","10","","","never",56,"1"
18951,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","100-500","Pvt Ltd","3",100,"0"
32615,"city_160",0.92,"Male","No relevent experience","no_enrollment","Primary School","","<1","1000-4999","Public Sector","2",85,"0"
29968,"city_115",0.789,"Female","No relevent experience","Full time course","Graduate","STEM","3","","","1",75,"1"
27421,"city_21",0.624,"Female","No relevent experience","no_enrollment","Graduate","STEM","3","10000+","Pvt Ltd","1",43,"1"
17508,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","4","50-99","Pvt Ltd","1",2,"0"
11577,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree","4","100-500","Pvt Ltd","3",29,"0"
11498,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","STEM","3","","Early Stage Startup","never",48,"1"
7278,"city_74",0.579,"","No relevent experience","Part time course","High School","","3","","","",21,"1"
4016,"city_103",0.92,"","Has relevent experience","no_enrollment","Masters","STEM",">20","5000-9999","Public Sector","2",78,"0"
24248,"city_114",0.926,"","Has relevent experience","no_enrollment","Primary School","","3","50-99","Pvt Ltd","never",86,"0"
7412,"city_104",0.924,"Male","No relevent experience","Full time course","High School","","1","50-99","Pvt Ltd","1",39,"0"
12375,"city_21",0.624,"","Has relevent experience","Full time course","Graduate","STEM","<1","50-99","","2",36,"1"
23903,"city_160",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM",">20","","",">4",83,"1"
10615,"city_123",0.738,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","1000-4999","Pvt Ltd","2",29,"1"
31171,"city_101",0.558,"Male","No relevent experience","Part time course","Graduate","STEM","1","Oct-49","","1",5,"0"
23083,"city_103",0.92,"","Has relevent experience","no_enrollment","Masters","STEM","10","50-99","","3",108,"0"
3674,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Public Sector","2",202,"0"
17093,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd",">4",53,"0"
6696,"city_89",0.925,"","No relevent experience","Full time course","Masters","STEM","15","<10","Pvt Ltd","2",83,"0"
20301,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","10000+","Pvt Ltd","2",102,"0"
24874,"city_21",0.624,"","Has relevent experience","Part time course","Graduate","STEM","3","10000+","","3",210,"0"
29819,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","50-99","Funded Startup","1",34,"0"
20220,"city_102",0.804,"Male","No relevent experience","no_enrollment","Graduate","STEM","11","50-99","Pvt Ltd","1",136,"1"
3581,"city_114",0.926,"Male","No relevent experience","Full time course","Graduate","STEM","8","","","1",79,"0"
28587,"city_16",0.91,"Female","Has relevent experience","no_enrollment","Graduate","STEM","3","10000+","NGO","2",8,"0"
1671,"city_103",0.92,"Male","No relevent experience","no_enrollment","High School","","<1","","","never",105,"0"
16222,"city_103",0.92,"Male","No relevent experience","Part time course","High School","","5","","","1",96,"0"
977,"city_103",0.92,"Male","Has relevent experience","Full time course","High School","","5","","","1",54,"0"
7495,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","10000+","Pvt Ltd","2",110,"1"
16969,"city_160",0.92,"Male","No relevent experience","no_enrollment","Graduate","No Major",">20","5000-9999","Pvt Ltd",">4",12,"0"
18480,"city_138",0.836,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","","","never",43,"0"
9203,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","1000-4999","Pvt Ltd","1",43,"0"
15897,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","500-999","Public Sector","1",30,"0"
9855,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd",">4",57,"0"
26006,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","3",5,"0"
8782,"city_103",0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","7","Oct-49","Pvt Ltd",">4",50,"0"
19931,"city_114",0.926,"","No relevent experience","Full time course","High School","","3","","","2",122,"1"
13007,"city_103",0.92,"Male","No relevent experience","Part time course","Masters","STEM","3","100-500","Pvt Ltd","1",28,"0"
10219,"city_98",0.949,"Female","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Pvt Ltd","2",111,"0"
19131,"city_103",0.92,"Male","No relevent experience","Part time course","Graduate","STEM","2","10000+","Pvt Ltd","1",6,"0"
28624,"city_75",0.939,"Female","Has relevent experience","no_enrollment","Masters","STEM","17","Oct-49","Pvt Ltd","1",14,"0"
19669,"city_73",0.754,"Male","Has relevent experience","Part time course","Graduate","STEM","7","Oct-49","Pvt Ltd","1",28,"0"
27715,"city_104",0.924,"Male","No relevent experience","no_enrollment","High School","",">20","<10","Pvt Ltd",">4",35,"0"
7190,"city_97",0.925,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","","3",168,"0"
28075,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","4","50-99","","1",112,"0"
32502,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","50-99","Pvt Ltd",">4",312,"0"
28517,"city_136",0.897,"Male","No relevent experience","no_enrollment","Masters","STEM","12","Oct-49","Funded Startup","2",14,"0"
24281,"city_21",0.624,"Male","Has relevent experience","Full time course","Masters","STEM","6","50-99","Pvt Ltd","2",103,"0"
16479,"city_100",0.887,"Male","No relevent experience","no_enrollment","High School","","6","100-500","Pvt Ltd","1",4,"1"
29705,"city_21",0.624,"Other","Has relevent experience","Part time course","","","<1","Oct-49","Pvt Ltd","1",200,"1"
5311,"city_100",0.887,"","No relevent experience","Part time course","Graduate","STEM",">20","","","2",12,"1"
13575,"city_10",0.895,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd","1",53,"0"
19782,"city_21",0.624,"Female","Has relevent experience","Full time course","Graduate","STEM","6","50-99","Pvt Ltd","3",59,"0"
14336,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","50-99","NGO","2",14,"0"
26182,"city_128",0.527,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","","",">4",17,"0"
23175,"city_103",0.92,"","No relevent experience","no_enrollment","Graduate","Arts","5","100-500","Pvt Ltd","",80,"0"
26048,"city_103",0.92,"Male","No relevent experience","Full time course","High School","","6","","","1",73,"0"
3162,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","500-999","Pvt Ltd","4",48,"0"
4880,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","16","10000+","Pvt Ltd",">4",50,"0"
23144,"city_175",0.776,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","6","Oct-49","Pvt Ltd",">4",14,"0"
10996,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","50-99","Pvt Ltd",">4",96,"0"
22619,"city_76",0.698,"","No relevent experience","Full time course","Graduate","STEM","4","","Pvt Ltd","1",156,"1"
15968,"city_73",0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","100-500","Pvt Ltd","1",3,"0"
33150,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","","","never",4,"1"
33056,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","3","50-99","Funded Startup","1",12,"1"
28291,"city_160",0.92,"","Has relevent experience","no_enrollment","Masters","STEM",">20","<10","Other","1",63,"0"
4392,"city_70",0.698,"Male","Has relevent experience","Full time course","Graduate","STEM","2","10000+","Pvt Ltd","1",22,"0"
3300,"city_144",0.84,"","Has relevent experience","no_enrollment","Graduate","STEM","14","Oct-49","Pvt Ltd","3",52,"0"
30500,"city_104",0.924,"Male","Has relevent experience","Full time course","High School","","10","","","1",79,"0"
22662,"city_67",0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd","1",107,"0"
10417,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree","18","50-99","Pvt Ltd","1",92,"1"
12333,"city_143",0.74,"","No relevent experience","no_enrollment","Graduate","STEM","3","","","",46,"1"
241,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","<10","Pvt Ltd","4",196,"0"
19711,"city_67",0.855,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd","4",138,"1"
26429,"city_45",0.89,"Male","No relevent experience","Full time course","Masters","Humanities","2","","","1",6,"0"
21021,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","50-99","Funded Startup","1",107,"0"
29504,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","1000-4999","Public Sector",">4",55,"0"
898,"city_98",0.949,"Male","Has relevent experience","no_enrollment","High School","","15","Oct-49","Pvt Ltd","2",32,"1"
22051,"city_46",0.762,"Male","Has relevent experience","no_enrollment","Masters","STEM","4","","Pvt Ltd","3",34,"1"
28221,"city_160",0.92,"Female","No relevent experience","no_enrollment","Graduate","Humanities","2","","","1",20,"1"
9917,"city_73",0.754,"","Has relevent experience","no_enrollment","Graduate","STEM","7","500-999","Pvt Ltd","",94,"0"
24567,"city_16",0.91,"Male","No relevent experience","no_enrollment","Masters","STEM","15","10000+","Pvt Ltd",">4",20,"1"
32662,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","500-999","Pvt Ltd","3",112,"1"
9853,"city_176",0.764,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","<10","Funded Startup","1",45,"0"
20176,"city_16",0.91,"Male","No relevent experience","no_enrollment","High School","","2","","","never",12,"0"
29611,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","16","<10","Pvt Ltd",">4",134,"1"
27473,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",9,"1"
5237,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","No Major","6","1000-4999","Pvt Ltd",">4",48,"0"
1331,"city_41",0.827,"Male","Has relevent experience","Full time course","Masters","STEM","7","500-999","Funded Startup","2",92,"0"
6700,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","50-99","Pvt Ltd",">4",40,"0"
21080,"city_94",0.698,"","Has relevent experience","Part time course","Graduate","STEM","4","","","1",105,"1"
10257,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd","1",160,"0"
26844,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","20","50-99","Pvt Ltd","1",103,"0"
31093,"city_103",0.92,"Female","No relevent experience","no_enrollment","Graduate","Humanities","16","","",">4",78,"1"
15688,"city_114",0.926,"","Has relevent experience","no_enrollment","Graduate","STEM","11","1000-4999","Pvt Ltd","2",9,"0"
25317,"city_128",0.527,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Pvt Ltd","3",198,"1"
33374,"city_61",0.913,"Male","Has relevent experience","no_enrollment","","","10","","","2",3,"0"
23642,"city_11",0.55,"Male","No relevent experience","no_enrollment","Graduate","STEM","5","","","never",37,"1"
5555,"city_103",0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM","20","10000+","Public Sector","1",14,"0"
20294,"city_20",0.796,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","500-999","Pvt Ltd","3",77,"0"
7471,"city_76",0.698,"Male","Has relevent experience","Full time course","Graduate","STEM","11","<10","Pvt Ltd","2",10,"0"
10243,"city_16",0.91,"Male","No relevent experience","Full time course","High School","","4","","","1",14,"0"
1051,"city_99",0.915,"Male","No relevent experience","Full time course","Graduate","STEM","3","","","1",16,"1"
32032,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","NGO","1",70,"0"
4705,"city_67",0.855,"Female","Has relevent experience","no_enrollment","Graduate","Humanities","3","50-99","Pvt Ltd","3",66,"0"
14732,"city_28",0.939,"Male","No relevent experience","no_enrollment","Phd","STEM","4","","Public Sector","1",13,"0"
33256,"city_70",0.698,"Male","No relevent experience","Full time course","Graduate","STEM","2","","","2",106,"0"
21908,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","<10","Pvt Ltd",">4",146,"0"
16494,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","Arts",">20","50-99","Early Stage Startup","3",40,"0"
21446,"city_21",0.624,"","Has relevent experience","Full time course","Graduate","STEM","2","50-99","Funded Startup","1",19,"1"
12707,"city_27",0.848,"Male","Has relevent experience","Full time course","Graduate","STEM",">20","","","3",34,"0"
15959,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","50-99","","4",51,"0"
11379,"city_103",0.92,"Male","No relevent experience","no_enrollment","Primary School","","7","","","never",88,"0"
9401,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","100-500","Funded Startup","2",76,"0"
12452,"city_102",0.804,"","No relevent experience","no_enrollment","Graduate","STEM","<1","50-99","Pvt Ltd","1",43,"0"
7723,"city_90",0.698,"Female","Has relevent experience","no_enrollment","Masters","STEM","16","Oct-49","Funded Startup","1",22,"0"
20075,"city_16",0.91,"","No relevent experience","no_enrollment","Graduate","Humanities","<1","<10","Early Stage Startup","1",131,"0"
16770,"city_16",0.91,"Female","No relevent experience","no_enrollment","Masters","STEM","3","<10","Early Stage Startup","1",59,"1"
3329,"city_21",0.624,"Female","No relevent experience","Full time course","High School","","5","","Pvt Ltd","never",110,"1"
30888,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","10","100-500","Pvt Ltd",">4",34,"0"
27188,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","11","100-500","Pvt Ltd","1",43,"0"
20136,"city_36",0.893,"Male","Has relevent experience","Full time course","Graduate","STEM",">20","Oct-49","Pvt Ltd","1",48,"0"
21960,"city_102",0.804,"Female","No relevent experience","no_enrollment","Graduate","Humanities","1","","","1",190,"0"
6385,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","Oct-49","Funded Startup","2",41,"0"
32328,"city_143",0.74,"Female","No relevent experience","no_enrollment","Graduate","STEM","5","10000+","Pvt Ltd","2",91,"0"
27763,"city_75",0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd","1",19,"0"
18895,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","1000-4999","","2",18,"0"
8661,"city_103",0.92,"Male","No relevent experience","no_enrollment","Masters","STEM","10","10000+","Pvt Ltd","3",3,"0"
5139,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","2","","","never",80,"0"
19670,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","","","1",56,"1"
13713,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","1","10000+","Public Sector","1",328,"0"
20277,"city_103",0.92,"","No relevent experience","Part time course","Graduate","STEM","<1","100-500","","never",74,"0"
17076,"city_103",0.92,"","Has relevent experience","no_enrollment","Masters","STEM","11","10000+","Pvt Ltd","1",37,"0"
20258,"city_46",0.762,"","Has relevent experience","no_enrollment","Graduate","STEM","14","50-99","Funded Startup","1",21,"0"
16644,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","Oct-49","Pvt Ltd","2",92,"0"
14396,"city_75",0.939,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","<10","Pvt Ltd",">4",13,"0"
29130,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","1",161,"1"
23230,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","Oct-49","Pvt Ltd",">4",8,"0"
24420,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Phd","STEM","10","100-500","Pvt Ltd",">4",226,"0"
32391,"city_74",0.579,"Male","No relevent experience","Part time course","High School","","3","","Pvt Ltd","never",65,"0"
8776,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","100-500","NGO","1",21,"0"
26043,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","","","1",84,"0"
32512,"city_64",0.666,"Male","No relevent experience","no_enrollment","Graduate","STEM","<1","10000+","Pvt Ltd","1",45,"0"
5061,"city_114",0.926,"Male","No relevent experience","Full time course","High School","","9","","","never",150,"0"
19716,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11","","Pvt Ltd","1",6,"0"
13378,"city_136",0.897,"","Has relevent experience","no_enrollment","Masters","STEM","5","50-99","Funded Startup","1",198,"0"
24146,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","5","","","1",135,"0"
19805,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","8","50-99","Pvt Ltd","1",6,"1"
7256,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","Humanities","4","","","1",88,"1"
19374,"city_11",0.55,"","Has relevent experience","no_enrollment","Masters","STEM","7","<10","Early Stage Startup","1",29,"0"
12107,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","1000-4999","Pvt Ltd","never",16,"0"
27482,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","9","10000+","Pvt Ltd","2",36,"1"
9366,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","7","50-99","Pvt Ltd","never",35,"1"
23481,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd",">4",43,"1"
6494,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","1",41,"1"
6220,"city_77",0.83,"","No relevent experience","no_enrollment","High School","","2","","","never",2,"0"
31280,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","15","100-500","Pvt Ltd",">4",8,"0"
12671,"city_16",0.91,"Male","No relevent experience","Full time course","Graduate","STEM","1","","","1",42,"1"
33238,"city_90",0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","","","1",149,"0"
32215,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd",">4",49,"0"
7580,"city_115",0.789,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","100-500","Pvt Ltd","1",212,"1"
17226,"city_21",0.624,"Male","No relevent experience","no_enrollment","","","1","","","never",31,"0"
32846,"city_19",0.682,"Male","No relevent experience","Full time course","Graduate","STEM","2","","","2",8,"1"
32968,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","3","50-99","","1",32,"0"
1652,"city_115",0.789,"Male","No relevent experience","Full time course","Graduate","STEM","5","","","1",156,"1"
10992,"city_102",0.804,"Male","No relevent experience","no_enrollment","Graduate","Humanities","1","1000-4999","Pvt Ltd","1",26,"0"
18654,"city_74",0.579,"Female","No relevent experience","no_enrollment","High School","","3","","","never",218,"0"
6627,"city_67",0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","100-500","Pvt Ltd","1",6,"0"
15800,"city_114",0.926,"","Has relevent experience","Full time course","Graduate","STEM","3","","","1",54,"0"
30730,"city_136",0.897,"","No relevent experience","Full time course","High School","","4","","","2",14,"0"
21403,"city_101",0.558,"Male","Has relevent experience","Full time course","Graduate","STEM","4","<10","","2",19,"0"
25998,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","10000+","Pvt Ltd","2",47,"0"
23807,"city_118",0.722,"","No relevent experience","no_enrollment","Masters","STEM","12","","",">4",98,"0"
4657,"city_114",0.926,"Male","Has relevent experience","Part time course","","",">20","","","never",52,"0"
9316,"city_23",0.899,"","Has relevent experience","no_enrollment","Graduate","STEM","6","500-999","","2",28,"1"
31771,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","1000-4999","Pvt Ltd","1",182,"0"
17742,"city_150",0.698,"","No relevent experience","Full time course","Graduate","STEM","7","100-500","Pvt Ltd","2",44,"0"
4708,"city_20",0.796,"Male","Has relevent experience","Full time course","Graduate","Arts","9","","Funded Startup","1",29,"0"
30391,"city_16",0.91,"Male","No relevent experience","Full time course","High School","","4","","","1",78,"0"
16095,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts","7","<10","Pvt Ltd",">4",125,"0"
21031,"city_160",0.92,"Female","Has relevent experience","no_enrollment","Graduate","Humanities","1","","","1",35,"1"
15315,"city_89",0.925,"Female","Has relevent experience","no_enrollment","Graduate","STEM","9","<10","Pvt Ltd","1",90,"0"
31497,"city_67",0.855,"Male","Has relevent experience","no_enrollment","High School","","17","","","1",56,"0"
18134,"city_175",0.776,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","","","1",153,"0"
21701,"city_123",0.738,"","Has relevent experience","Full time course","Graduate","STEM","5","100-500","Pvt Ltd","never",40,"0"
3742,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM","11","Oct-49","Pvt Ltd",">4",47,"0"
31698,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","","",">4",51,"1"
364,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Public Sector",">4",23,"0"
5815,"city_104",0.924,"Male","Has relevent experience","no_enrollment","High School","",">20","","",">4",80,"0"
31830,"city_61",0.913,"Male","Has relevent experience","no_enrollment","Graduate","Other","10","5000-9999","Public Sector","1",7,"0"
19277,"city_67",0.855,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","1000-4999","Pvt Ltd","2",100,"1"
14380,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts","9","50-99","Pvt Ltd","1",9,"0"
28108,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","","","1",72,"1"
27662,"city_136",0.897,"Male","Has relevent experience","Full time course","Masters","STEM","7","","","1",6,"1"
24805,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Pvt Ltd","1",25,"0"
22287,"city_176",0.764,"Male","Has relevent experience","","Masters","STEM","14","100-500","NGO","1",51,"0"
1912,"city_21",0.624,"Male","Has relevent experience","","Graduate","STEM","1","","","never",162,"1"
16545,"city_28",0.939,"Male","No relevent experience","Full time course","High School","","2","","","never",46,"0"
3692,"city_46",0.762,"Male","Has relevent experience","Part time course","Graduate","STEM","12","500-999","Pvt Ltd","2",70,"0"
16292,"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","2","50-99","Pvt Ltd","never",50,"1"
19090,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","1000-4999","Pvt Ltd",">4",16,"0"
32807,"city_21",0.624,"Male","No relevent experience","Full time course","Masters","STEM","5","50-99","Pvt Ltd","4",6,"0"
27986,"city_45",0.89,"Female","Has relevent experience","no_enrollment","High School","","16","1000-4999","Pvt Ltd","3",48,"0"
27288,"city_16",0.91,"Male","Has relevent experience","no_enrollment","High School","","5","<10","Early Stage Startup","1",98,"1"
25059,"city_61",0.913,"","Has relevent experience","no_enrollment","Phd","STEM",">20","<10","Early Stage Startup",">4",17,"0"
28567,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","","",">4",8,"0"
27480,"city_104",0.924,"Male","Has relevent experience","Full time course","Graduate","STEM","6","","","1",45,"0"
33013,"city_102",0.804,"Male","No relevent experience","Full time course","High School","","6","Oct-49","Early Stage Startup","1",43,"0"
14763,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Primary School","","11","","",">4",78,"0"
15612,"city_128",0.527,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","Oct-49","Pvt Ltd","never",28,"0"
15052,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","Oct-49","Pvt Ltd","1",44,"0"
15045,"city_116",0.743,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","100-500","","3",100,"0"
19973,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","10000+","Pvt Ltd","1",48,"0"
12198,"city_128",0.527,"Male","No relevent experience","no_enrollment","Graduate","STEM","3","500-999","Funded Startup","1",30,"0"
23321,"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","3","Oct-49","Pvt Ltd","1",53,"1"
14129,"city_173",0.878,"Male","Has relevent experience","no_enrollment","High School","","17","","","1",34,"0"
11302,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Funded Startup","1",21,"0"
26669,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","2",148,"0"
2482,"city_136",0.897,"","Has relevent experience","no_enrollment","Masters","STEM","2","<10","Early Stage Startup","",54,"0"
22626,"city_104",0.924,"Male","Has relevent experience","Full time course","Graduate","STEM","6","50-99","Pvt Ltd","1",86,"0"
27738,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd","3",35,"0"
16130,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","Other","5","10000+","","2",83,"0"
19635,"city_24",0.698,"Male","No relevent experience","Full time course","Graduate","STEM","5","10000+","Pvt Ltd","1",24,"0"
9092,"city_104",0.924,"","No relevent experience","no_enrollment","Graduate","STEM","7","","","4",90,"0"
19536,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","500-999","Pvt Ltd","1",10,"1"
8777,"city_114",0.926,"Male","No relevent experience","Full time course","High School","","14","","","never",3,"0"
1902,"city_162",0.767,"","Has relevent experience","Full time course","Graduate","STEM","6","500-999","NGO","1",155,"0"
17774,"city_21",0.624,"Male","Has relevent experience","","Graduate","STEM","4","","","1",16,"0"
15078,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","11","","","1",35,"1"
16781,"city_16",0.91,"","Has relevent experience","no_enrollment","Graduate","STEM",">20","Oct-49","Pvt Ltd","1",30,"0"
25922,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","100-500","","1",68,"0"
10203,"city_46",0.762,"Male","No relevent experience","Part time course","Graduate","STEM","5","","","1",32,"1"
31237,"city_21",0.624,"Male","Has relevent experience","Full time course","Masters","STEM","4","50-99","Pvt Ltd","1",151,"1"
28398,"city_67",0.855,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","100-500","Pvt Ltd",">4",53,"0"
6007,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd",">4",8,"0"
3479,"city_103",0.92,"","No relevent experience","Full time course","Graduate","STEM","4","","Public Sector","1",15,"0"
9099,"city_21",0.624,"Male","No relevent experience","Part time course","Graduate","STEM","2","","","never",77,"1"
15756,"city_104",0.924,"","No relevent experience","Full time course","High School","","2","Oct-49","Early Stage Startup","1",74,"0"
29971,"city_28",0.939,"Male","No relevent experience","no_enrollment","Graduate","STEM","4","1000-4999","Public Sector","1",14,"1"
26024,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","18","500-999","Pvt Ltd",">4",164,"0"
20706,"city_90",0.698,"","Has relevent experience","Full time course","","","4","100-500","Pvt Ltd","2",26,"1"
2905,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","100-500","Pvt Ltd","1",29,"0"
